Tweet,Sentiment
relaxin nite drinkin earl grey watchin cool show bout bruce lee history,4
cool would nice,4
hate lynz sorry say,0
awake bored annoyed,0
song day lacey awesome,4
iight lol get u talk not home,0
think run phone bill,0
prime example not really pay autofollow irresponsible thing,0
know,4
get update phone yus wat matter tho,0
thank,4
pooly iphone go iphone hospital take month break actually break,0
cry get cancel,0
cool day today nice sunny day luxemburg game badminton important game petanque,4
r u talk bout movie award mtv tomz oh u tell ik follow not think know already follow,4
yeah legally seperat today show show,0
find vodka coke no sleep hyper sugar night run damn toilet every minute,4
finally get driver license today year late least get college good friend expect,4
partake uk well grab free comic local store,4
let us know locate,4
guy busy tweet always happily sleep everything bring competition,4
get waken hayfever,0
us familiar face always end get somehow hardcore haha great see david,4
hunnieeee thank sooooo sooooo much awesome ily xxx,4
really need pack tmoro not get clue wot take go take day,0
lol hear bed squeak yet another thing not like abt townhouse,0
wait hopefully get facebook soon something wrong though people not write wall hope fix soon,0
graduate congratulation,4
get home camping trip class mate funny never hat smelly toilet,4
scared set pw bb bc may forget end lose datum yet financial info catch,0
tomorrow reveal popular twitterer help produce new indie weekend tammy radio,4
cmon release please spend day without dev computer like crack addict not find dealer,4
otherbrittany ask wear pant say yes sound really really let,0
hahah marry canadian get full citizenship priceless,4
cramp get love bein girl,4
not feel good may get sick,0
extremely sore,0
eat haagendazs strawberry ice cream mmm stan package wrong shipping address,0
pix nye not great bit much booze sytem may month yet film,0
hey remember giant theater still killing,4
people make fun southern accent love acecnt,4
thank follow raise hand,4
morning not start great,0
alright go try stop later tonight not anything get catch,4
ruhroh wonder mean opensolaris java,0
try get match pair someone already,0
not go guess not one thos cousin,0
use consider ride die chick ppl tho friend change cuz ppl not,0
great day start feel like summer even though work tomorrow,0
make voice sound like alienterminatordominator speak crap actually hope go ok,4
love hang friend go miss summer,0
wake sunshine new hair colour dad nice day,4
need glass cranberry juice,0
trong cai may ca cai rai cai rai ghaa lao,0
cup noodle office crave junk food kinda sad friday night though,0
anytime,4
know course know feel good bronchitis stress kick ass lol,4
woo lol hope show go well u gal ther uncle use live singapore u shud check nightclub,4
long week not wait parent come home miss say present always bonus,4
automatic work tweet love phone,4
happy birthday second mom toni wonderful day great trip family not worry anything else,4
look forward spend day vancouver starting tomorrow not year nice city forecast chilly rain,0
click recieve first month rent today hayward castro valley,4
happy mother day love mommy,4
exam panic begin plz let everything fall place,0
oh dear not lame amazing someone want lame one,4
watch,4
answer name city email addy twitter,4
eckit design logo not dredge many tear sox follower post soon,4
really happy everything could change even yo,4
tony magician ten minute,4
,4
say guess piss folk say not piss,4
work horrible head ache hurt day,0
bleh nothing pia,0
gah back kill today make work computer hard,0
rock many sock,4
bed still sleep room last night confuse hell pooch wonder hope weather better today,4
feel home ever bad go short live,0
no plan day,4
wake pass upstairs pissed atts network ugh want talk someone,0
chair,0
family add though deny use see gift keep entertain hour year,4
hungry lunch look bad today cook,0
yeah know,0
like laugh good time follow simple,4
argh wake three hour nap pound migraine get movie not fun,0
heyy sooo come scotlandd amazinggg x,4
wooooooooooot uhm get bum crack front lol hide,4
go bed physically pain work sicker year coffee,0
house finish gota wait week next ep,0
tell sell business say richie music center no longer run original owner aww man,0
feel baddd sooooo bad,0
want something bit traditional style may want look spellborn,4
oh man go show tonight psych,4
license plate holder say,4
hello actually think log wellcount day graspophope well,4
not look like able make whitefield,0
morning really upset rabbit run away last night postman wake early reply ilu x,4
,0
band kildare ireland atm,4
scavenger hunt youthgroup stay night,4
hi thx follow teach chinese lesson youtube pls feel free look www youtube comchineselearn,4
people nice,0
hate bitch,0
pay rent today goodbye money,0
get email no dd around,0
biz ok tho transition run computer repair biz try find smmarketingsale path like,4
yea bad hehe really wanna go mcritchie lol,0
win game show no one invite,4
buy ghostbuster game buggy play far,0
work relax,4
pray grandma really hope everything turn fine,0
listen happy song lol,4
ur answer definitely,0
heaven play toe,4
well big shoe fill hope not disappoint,4
history exam tomorrow not feel ready,0
noooo miss much go stag prom high school middle school dance help,0
listen song universe rico blanco love song hihihi,4
miss hear positive podcast always encouraging,0
actually experiment xcode last couple day unfortunately though write c school,0
two week later sorry long cali new job fun much buy car kia rio love house hunting,4
bored senseless p good luck rest nonetheless,4
always feel tired,0
get thank support keep eye,4
length today love weather b go home bit go skating,4
bad weather come weekend no trekking week,0
not ray voice new one,0
wait week see stock wierd thing state site available,0
copy blog title legge blog war,0
jaaaaaaaaaam yay twitter,4
ohh well okay bd oh happy update moi miss,4
need coffe really wanna go back sleep look forward see mathilde later,4
schoolwork lot schoolwork today,0
make link www omgpop comafricanshea add,4
yay guy maybe improve grade meet guy often haha cnp hbp,4
cheer sideline,4
email problem hit bfm office cuppa anyone,0
whatev opinion good voice ever hear,4
wanna go homeeeeeeee wtffff,0
feel free hate,4
u tell anyone thank u today share love,4
start gym tomorrow go hairdresser not go gym cuz hair would ruin hard girl,0
u prolly naked lol ik drunk,0
happy go work want spend time sun eh,0
good morning nice day,4
miss grandpa one much harder know sick family,0
dude ur trippin go upstairs time u haha room computer,4
ow not sleep toothache not good,0
not amuse blue smoke come car,0
airport keep take people away,0
mew glass mom bring sim not allow till bday daysssssss,0
go lum pond today much fun,4
lol yay daysss,4
distract hayayay,0
good luck hate sort bill,0
awesome cool great travel blog carnival awesome idea thank,4
not express feeling say god glory,4
page not exist,0
come back brazil pleeease,0
new video,4
really nice sound great continue great thing,4
not disturb watch everybody stop tweet,4
exceed rate aargh twitter way slow catch later peep play nice,4
want fred shirt,0
